url,segment_no,cumle_icerigi,sozcuk_sayisi
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,1, Dünyayı esir alan yeni tip koronavirüs salgınıyla birlikte çocuklar arasında görülen ve bir salgın gibi yayılan gizemli hastalık çoklu bölgede iltihaplanmaya neden olarak çocukların sağlığını ciddi şekilde tehdit ediyor.,29
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,2,İtalyada gizemli hastalıkla ilgili araştırma yapan uzmanlar çocuklarda görülen gizemli hastalığın semptomlarının coronayla bağlantılı olduğunu net kanıtlarla ispatladı.,18
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,3,Hangi Belirtilerle Görülüyor Dünya yeni tip koronavirüsle mücadelesini sürdürürken koronavirüs ise dünyayı tehdit etmeye ve can almaya devam ediyor.,19
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,4,Son zamanlarda coronayla bağlantılı olduğu düşünülen ve özellikle ABD ve İngilterede çocuklar arasında yayılan gizemli hastalık ailelerin korkulu rüyası haline geldi.,21
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,5,Çoklu bölgede iltihaplanma olarak görülen bu gizemli hastalığın en önemli belirtileri ise yüksek ateş dilde ve ciltte kızarıklıklar şiddetli karın ağrısı ve solunum güçlüğüdür.,24
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,6,İngiltere ve ABDde uzmanlara uyarı üstüne uyarı yapıldığı bugünlerde salgının coronayla bağlantılı olduğunun en net kanıtını İtalyan uzmanlar buldu.,19
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,7,Salgından en fazla etkilenen Bergamodaki Papa Giovanni Hastanesi uzmanları yeni tip koronavirüs salgınından evvel bu sendromun üç ayda bir çocukta görüldüğünü yeni tip koronavirüs salgınının görülmesinin ardından ise vaka sayısının ayda 10 çocuğa kadar çıktığını ifade ediyorlar.,37
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,8,"Çocukların yüzde 80i Antikor Üretiyor   Şubat ayı ortasından Nisan ayı ortasına kadar ki iki aylık süreçte görülen vakalar üzerinde inceleme yapan uzmanlar sendromun görüldüğü ve tedavi altında olan 10 çocuktan 8inin koronavirüse karşı antikor ürettiğini belirledi.",36
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,9,"Papa Giovanni Hastanesi Çocuk Hastalıkları Bölümü Dr. Lorenzo DAntiga ""Tarafımızdan gerçekleştirilen araştırmada elde edilen net kanıt Sars-CoV2 ile Kawasaki vb.",21
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,10,sendromlar arasındaki bağlantıyı açıkça gösteriyor.,5
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,11,"Bu araştırma neticesinde elde edilen net kanıtın dünya genelindeki tüm doktorlara tedavi sürecinde yol göstereceğini umuyoruz. """,16
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,13,Önlemleri Gevşetirken Çocukları Unutmayın Yeni tip koronavirüsle mücadelesini sürdüren birçok ülke normalleşme adımlarını kademeli olarak atmaya başladı.,17
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,14,Ancak gizemli hastalık bugüne kadar her 1000 çocuktan birinde görülse de bu hastalığın koronavirüsle olan bağlantısından dolayı tedbirler gevşetilirken çocukların unutulmaması gerektiği uzmanlar tarafından dile getiriliyor.,26
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,15,Çocuklar arasında görülen bu sendroma dünyada ilk defa Birleşik Krallıkta rastlandı.,11
https://www.canlihaber.com/saglik/cocuklarda-gorulen-gizemli-hastaligin-coronayla-net-baglantisi-h4230.html,16,Daha sonra ise ABD Fransa İsviçre İtalya ve İspanyada vakalar görülmeye başlandı.,12
https://www.canlihaber.com/ekonomi/benzin-ve-motorinde-litre-fiyatina-indirim-h4229.html,1, Enerji Petrol Gaz İkmal İstasyonları İşveren Sendikası (EPGİS) tarafından yapılan son dakika açıklamasına göre bu gece yarısından sonra benzinin litre fiyatına 7 kuruş motorinin litre fiyatına ise 12 kuruş indirim gelecek.,33
